sample,batch,FA,proportion
DEME_05F0328_0035,batch_2,20:4w6,0.223967802662458
DEME_05F0328_0035,batch_2,20:3w3,0.0016826292218503
DEME_05F0328_0035,batch_2,20:4w3,0.00749793224196132
DEME_05F0328_0035,batch_2,20:5w3,0.178804935333414
DEME_05F0328_0035,batch_2,21:0,0
DEME_05F0328_0035,batch_2,22:0,0
DEME_05F0328_0035,batch_2,22:1w9c,0
DEME_05F0328_0035,batch_2,22:1w7c,0
DEME_05F0328_0035,batch_2,22:2w6,0
DEME_05F0328_0035,batch_2,21:5w3,0
DEME_05F0328_0035,batch_2,23:0,0
DEME_05F0328_0035,batch_2,22:4w6,0
DEME_05F0328_0035,batch_2,22:5w6,0
DEME_05F0328_0035,batch_2,22:3w6,0
DEME_05F0328_0035,batch_2,22:6w4,0
DEME_05F0328_0035,batch_2,22:5w3,0
DEME_05F0328_0035,batch_2,22:6w3,0
DEME_05F0328_0035,batch_2,24:0,0
DEME_05F0328_0035,batch_2,24:1,0
DEME_05F0328_0035,batch_2,24:1w9,0
DEME_05F0328_0035,batch_2,26:0,0
DEME_05F0328_0035,batch_2,26:4w2,0
DEME_05F0328_0035,batch_2,27:0,0
DEME_05F0328_0035,batch_2,28:0,0
DEME_05F0328_0035,batch_2,29:0,0
DEME_07F0563_0036,batch_2,8:0,3.70645486731145E-05
DEME_07F0563_0036,batch_2,9:0,9.64693732587913E-05
DEME_07F0563_0036,batch_2,10:0,3.75722822165819E-05
DEME_07F0563_0036,batch_2,11:0,5.58506897814055E-05
DEME_07F0563_0036,batch_2,11:1,0
DEME_07F0563_0036,batch_2,12:0,0.000129472053584167
DEME_07F0563_0036,batch_2,13:0,0
DEME_07F0563_0036,batch_2,13:1,0
DEME_07F0563_0036,batch_2,i-14:0,0
DEME_07F0563_0036,batch_2,14:0,0.0539421193915118
DEME_07F0563_0036,batch_2,14:1,0.000805265399939174
DEME_07F0563_0036,batch_2,14:1w5,0
DEME_07F0563_0036,batch_2,i-15:0,0
DEME_07F0563_0036,batch_2,a-15:0,0
DEME_07F0563_0036,batch_2,15:0,0.00134854029144921
DEME_07F0563_0036,batch_2,15:1w7,0
DEME_07F0563_0036,batch_2,15:1w5,0
DEME_07F0563_0036,batch_2,i-16:0,0
DEME_07F0563_0036,batch_2,16:0,0.132448895349516
DEME_07F0563_0036,batch_2,16:1w13,0
DEME_07F0563_0036,batch_2,16:1w9,0
DEME_07F0563_0036,batch_2,16:1w7t,0
DEME_07F0563_0036,batch_2,16:1w8c,0
DEME_07F0563_0036,batch_2,16:1w7c,0
DEME_07F0563_0036,batch_2,16:1w6c,0
DEME_07F0563_0036,batch_2,16:1w5t,0
DEME_07F0563_0036,batch_2,16:1w5c,0.00814861563910706
DEME_07F0563_0036,batch_2,16:2w6,0
DEME_07F0563_0036,batch_2,i-17:0,0
DEME_07F0563_0036,batch_2,a-17:0,0
DEME_07F0563_0036,batch_2,16:2w5,0.00391513335367652
DEME_07F0563_0036,batch_2,16:2w4,0
DEME_07F0563_0036,batch_2,17:0,0.000865177958068318
DEME_07F0563_0036,batch_2,16:3w4,0
DEME_07F0563_0036,batch_2,16:3w3,0
DEME_07F0563_0036,batch_2,17:1w9c,0
DEME_07F0563_0036,batch_2,17:1w7c,0
DEME_07F0563_0036,batch_2,16:4w3,0
DEME_07F0563_0036,batch_2,16:4w1,0
DEME_07F0563_0036,batch_2,17:2,0
DEME_07F0563_0036,batch_2,18:0,0.0136260451060325
DEME_07F0563_0036,batch_2,18:1w9t,0
DEME_07F0563_0036,batch_2,18:1w9c,0.105044992807954
DEME_07F0563_0036,batch_2,18:1w8c,0
DEME_07F0563_0036,batch_2,18:1w7c,0
DEME_07F0563_0036,batch_2,18:1w5c,0
DEME_07F0563_0036,batch_2,18:1w6c,0
DEME_07F0563_0036,batch_2,"18:2w7,12c",0
DEME_07F0563_0036,batch_2,18:2w6t,0
DEME_07F0563_0036,batch_2,18:2w6c,0.0540177716894884
DEME_07F0563_0036,batch_2,18:2w3,0
DEME_07F0563_0036,batch_2,18:2,0
DEME_07F0563_0036,batch_2,18:3w6,0.00480366705474434
DEME_07F0563_0036,batch_2,18:3w4,0
DEME_07F0563_0036,batch_2,19:0,0.177986501396013
DEME_07F0563_0036,batch_2,18:3w3,0.0754202637472665
DEME_07F0563_0036,batch_2,18:4w3c,0.113187007910996
DEME_07F0563_0036,batch_2,18:4w1,0
DEME_07F0563_0036,batch_2,18:5w3,0
DEME_07F0563_0036,batch_2,20:0,0.00885588846515704
DEME_07F0563_0036,batch_2,20:1w11,0
DEME_07F0563_0036,batch_2,20:1w9,0
DEME_07F0563_0036,batch_2,20:1w7,0
DEME_07F0563_0036,batch_2,20:1w5,0
DEME_07F0563_0036,batch_2,20:2w6,0.00226246066969039
DEME_07F0563_0036,batch_2,20:3n7,0
DEME_07F0563_0036,batch_2,20:3w6,0.00948141619070878
DEME_07F0563_0036,batch_2,20:4w6,0.198443085862312
DEME_07F0563_0036,batch_2,20:3w3,0.00199082322393537
DEME_07F0563_0036,batch_2,20:4w3,0.014193691207629
DEME_07F0563_0036,batch_2,20:5w3,0.196550762945809
DEME_07F0563_0036,batch_2,21:0,0
DEME_07F0563_0036,batch_2,22:0,0.00029194678749371
DEME_07F0563_0036,batch_2,22:1w9c,0
DEME_07F0563_0036,batch_2,22:1w7c,0
DEME_07F0563_0036,batch_2,22:2w6,0
DEME_07F0563_0036,batch_2,21:5w3,0
DEME_07F0563_0036,batch_2,23:0,0
DEME_07F0563_0036,batch_2,22:4w6,0
DEME_07F0563_0036,batch_2,22:5w6,0
DEME_07F0563_0036,batch_2,22:3w6,0
DEME_07F0563_0036,batch_2,22:6w4,0
DEME_07F0563_0036,batch_2,22:5w3,0
DEME_07F0563_0036,batch_2,22:6w3,0
DEME_07F0563_0036,batch_2,24:0,0
DEME_07F0563_0036,batch_2,24:1,0
DEME_07F0563_0036,batch_2,24:1w9,0
DEME_07F0563_0036,batch_2,26:0,0
DEME_07F0563_0036,batch_2,26:4w2,0
DEME_07F0563_0036,batch_2,27:0,0
DEME_07F0563_0036,batch_2,28:0,0
DEME_07F0563_0036,batch_2,29:0,0
DEME_09F0780_0068,batch_2,8:0,1.99870238091577E-05
DEME_09F0780_0068,batch_2,9:0,9.37852655660479E-05
DEME_09F0780_0068,batch_2,10:0,1.74245848592657E-05
DEME_09F0780_0068,batch_2,11:0,5.63736568976244E-05
DEME_09F0780_0068,batch_2,11:1,0
DEME_09F0780_0068,batch_2,12:0,0.000106597460315508
DEME_09F0780_0068,batch_2,13:0,0
DEME_09F0780_0068,batch_2,13:1,0.000139909166664104
DEME_09F0780_0068,batch_2,i-14:0,0
DEME_09F0780_0068,batch_2,14:0,0.0414151632837348
DEME_09F0780_0068,batch_2,14:1,0
DEME_09F0780_0068,batch_2,14:1w5,0
DEME_09F0780_0068,batch_2,i-15:0,0
DEME_09F0780_0068,batch_2,a-15:0,0
DEME_09F0780_0068,batch_2,15:0,0.00111158601646316
DEME_09F0780_0068,batch_2,15:1w7,0
DEME_09F0780_0068,batch_2,15:1w5,0
DEME_09F0780_0068,batch_2,i-16:0,0
DEME_09F0780_0068,batch_2,16:0,0.134019656981672
DEME_09F0780_0068,batch_2,16:1w13,0
DEME_09F0780_0068,batch_2,16:1w9,0
DEME_09F0780_0068,batch_2,16:1w7t,0
DEME_09F0780_0068,batch_2,16:1w8c,0
DEME_09F0780_0068,batch_2,16:1w7c,0
DEME_09F0780_0068,batch_2,16:1w6c,0.0645893486587682
DEME_09F0780_0068,batch_2,16:1w5t,0
DEME_09F0780_0068,batch_2,16:1w5c,0.0100872971701449
DEME_09F0780_0068,batch_2,16:2w6,0
DEME_09F0780_0068,batch_2,i-17:0,0
DEME_09F0780_0068,batch_2,a-17:0,0
DEME_09F0780_0068,batch_2,16:2w5,0.00768065450840634
DEME_09F0780_0068,batch_2,16:2w4,0
DEME_09F0780_0068,batch_2,17:0,0.000736957441988945
DEME_09F0780_0068,batch_2,16:3w4,0
DEME_09F0780_0068,batch_2,16:3w3,0
DEME_09F0780_0068,batch_2,17:1w9c,0
DEME_09F0780_0068,batch_2,17:1w7c,0
DEME_09F0780_0068,batch_2,16:4w3,0
DEME_09F0780_0068,batch_2,16:4w1,0
DEME_09F0780_0068,batch_2,17:2,0
DEME_09F0780_0068,batch_2,18:0,0.00947538674891071
DEME_09F0780_0068,batch_2,18:1w9t,0
DEME_09F0780_0068,batch_2,18:1w9c,0.0876400244764169
DEME_09F0780_0068,batch_2,18:1w8c,0
DEME_09F0780_0068,batch_2,18:1w7c,0
DEME_09F0780_0068,batch_2,18:1w5c,0
DEME_09F0780_0068,batch_2,18:1w6c,0
DEME_09F0780_0068,batch_2,"18:2w7,12c",0
DEME_09F0780_0068,batch_2,18:2w6t,0
DEME_09F0780_0068,batch_2,18:2w6c,0.0485602680516137
DEME_09F0780_0068,batch_2,18:2w3,0.0036355883821068
DEME_09F0780_0068,batch_2,18:2,0
DEME_09F0780_0068,batch_2,18:3w6,0.00457087859881738
DEME_09F0780_0068,batch_2,18:3w4,0
DEME_09F0780_0068,batch_2,19:0,0.158970125036771
DEME_09F0780_0068,batch_2,18:3w3,0.0725979953527607
DEME_09F0780_0068,batch_2,18:4w3c,0.0879628917841032
DEME_09F0780_0068,batch_2,18:4w1,0
DEME_09F0780_0068,batch_2,18:5w3,0
DEME_09F0780_0068,batch_2,20:0,0.00791793635516634
DEME_09F0780_0068,batch_2,20:1w11,0
DEME_09F0780_0068,batch_2,20:1w9,0
DEME_09F0780_0068,batch_2,20:1w7,0
DEME_09F0780_0068,batch_2,20:1w5,0
DEME_09F0780_0068,batch_2,20:2w6,0.00213758657199992
DEME_09F0780_0068,batch_2,20:3n7,0
DEME_09F0780_0068,batch_2,20:3w6,0.00250094041509461
DEME_09F0780_0068,batch_2,20:4w6,0.208656841250757
DEME_09F0780_0068,batch_2,20:3w3,0
DEME_09F0780_0068,batch_2,20:4w3,0.0093047283148479
DEME_09F0780_0068,batch_2,20:5w3,0.193357543256532
DEME_09F0780_0068,batch_2,21:0,0
DEME_09F0780_0068,batch_2,22:0,0
DEME_09F0780_0068,batch_2,22:1w9c,0
DEME_09F0780_0068,batch_2,22:1w7c,0
DEME_09F0780_0068,batch_2,22:2w6,0
DEME_09F0780_0068,batch_2,21:5w3,0
DEME_09F0780_0068,batch_2,23:0,0
DEME_09F0780_0068,batch_2,22:4w6,0
DEME_09F0780_0068,batch_2,22:5w6,0
DEME_09F0780_0068,batch_2,22:3w6,0
DEME_09F0780_0068,batch_2,22:6w4,0
DEME_09F0780_0068,batch_2,22:5w3,0
DEME_09F0780_0068,batch_2,22:6w3,0.0016066492215823
DEME_09F0780_0068,batch_2,24:0,0
DEME_09F0780_0068,batch_2,24:1,0
DEME_09F0780_0068,batch_2,24:1w9,0
DEME_09F0780_0068,batch_2,26:0,0
DEME_09F0780_0068,batch_2,26:4w2,0
DEME_09F0780_0068,batch_2,27:0,0
DEME_09F0780_0068,batch_2,28:0,0
DEME_09F0780_0068,batch_2,29:0,0
DEME_08F0679_0067,batch_2,8:0,5.710807948792E-06
DEME_08F0679_0067,batch_2,9:0,1.44129914898084E-05
DEME_08F0679_0067,batch_2,10:0,2.90979262152735E-05
DEME_08F0679_0067,batch_2,11:0,1.93079697316301E-05
DEME_08F0679_0067,batch_2,11:1,1.0333842954957E-05
DEME_08F0679_0067,batch_2,12:0,0.000185737229953568
DEME_08F0679_0067,batch_2,13:0,0
DEME_08F0679_0067,batch_2,13:1,0
DEME_08F0679_0067,batch_2,i-14:0,0
DEME_08F0679_0067,batch_2,14:0,0.0999513765494646
DEME_08F0679_0067,batch_2,14:1,0
DEME_08F0679_0067,batch_2,14:1w5,0
DEME_08F0679_0067,batch_2,i-15:0,0
DEME_08F0679_0067,batch_2,a-15:0,0
DEME_08F0679_0067,batch_2,15:0,0.00120035744218895
DEME_08F0679_0067,batch_2,15:1w7,0
DEME_08F0679_0067,batch_2,15:1w5,0
DEME_08F0679_0067,batch_2,i-16:0,0
DEME_08F0679_0067,batch_2,16:0,0.0774325730344351
DEME_08F0679_0067,batch_2,16:1w13,0
DEME_08F0679_0067,batch_2,16:1w9,0
DEME_08F0679_0067,batch_2,16:1w7t,0
DEME_08F0679_0067,batch_2,16:1w8c,0
DEME_08F0679_0067,batch_2,16:1w7c,0
DEME_08F0679_0067,batch_2,16:1w6c,0.0663731855267459
DEME_08F0679_0067,batch_2,16:1w5t,0
DEME_08F0679_0067,batch_2,16:1w5c,0.00952889097741294
DEME_08F0679_0067,batch_2,16:2w6,0
DEME_08F0679_0067,batch_2,i-17:0,0
DEME_08F0679_0067,batch_2,a-17:0,0
DEME_08F0679_0067,batch_2,16:2w5,0.0142435708539942
DEME_08F0679_0067,batch_2,16:2w4,0
DEME_08F0679_0067,batch_2,17:0,0.00220301215205543
DEME_08F0679_0067,batch_2,16:3w4,0
DEME_08F0679_0067,batch_2,16:3w3,0
DEME_08F0679_0067,batch_2,17:1w9c,0
DEME_08F0679_0067,batch_2,17:1w7c,0
DEME_08F0679_0067,batch_2,16:4w3,0
DEME_08F0679_0067,batch_2,16:4w1,0.000342104590456207
DEME_08F0679_0067,batch_2,17:2,0
DEME_08F0679_0067,batch_2,18:0,0.137489333026581
DEME_08F0679_0067,batch_2,18:1w9t,0
DEME_08F0679_0067,batch_2,18:1w9c,0
DEME_08F0679_0067,batch_2,18:1w8c,0
DEME_08F0679_0067,batch_2,18:1w7c,0
DEME_08F0679_0067,batch_2,18:1w5c,0
DEME_08F0679_0067,batch_2,18:1w6c,0
DEME_08F0679_0067,batch_2,"18:2w7,12c",0
DEME_08F0679_0067,batch_2,18:2w6t,0
DEME_08F0679_0067,batch_2,18:2w6c,0
DEME_08F0679_0067,batch_2,18:2w3,0
DEME_08F0679_0067,batch_2,18:2,0
DEME_08F0679_0067,batch_2,18:3w6,0.00757769826157567
DEME_08F0679_0067,batch_2,18:3w4,0
DEME_08F0679_0067,batch_2,19:0,0.0641152408410878
DEME_08F0679_0067,batch_2,18:3w3,0.0529435407770724
DEME_08F0679_0067,batch_2,18:4w3c,0.0488502511939668
DEME_08F0679_0067,batch_2,18:4w1,0
DEME_08F0679_0067,batch_2,18:5w3,0
DEME_08F0679_0067,batch_2,20:0,0.0342542419065614
DEME_08F0679_0067,batch_2,20:1w11,0
DEME_08F0679_0067,batch_2,20:1w9,0.000931677525360067
DEME_08F0679_0067,batch_2,20:1w7,0
DEME_08F0679_0067,batch_2,20:1w5,0
DEME_08F0679_0067,batch_2,20:2w6,0.00341696675602721
DEME_08F0679_0067,batch_2,20:3n7,0
DEME_08F0679_0067,batch_2,20:3w6,0.028480343127097
DEME_08F0679_0067,batch_2,20:4w6,0.270095381370474
DEME_08F0679_0067,batch_2,20:3w3,0
DEME_08F0679_0067,batch_2,20:4w3,0.00866710286361666
DEME_08F0679_0067,batch_2,20:5w3,0.135575124590793
DEME_08F0679_0067,batch_2,21:0,0
DEME_08F0679_0067,batch_2,22:0,0
DEME_08F0679_0067,batch_2,22:1w9c,0
DEME_08F0679_0067,batch_2,22:1w7c,0
DEME_08F0679_0067,batch_2,22:2w6,0
DEME_08F0679_0067,batch_2,21:5w3,0.000178666705826493
DEME_08F0679_0067,batch_2,23:0,0
DEME_08F0679_0067,batch_2,22:4w6,0
DEME_08F0679_0067,batch_2,22:5w6,0
DEME_08F0679_0067,batch_2,22:3w6,0
DEME_08F0679_0067,batch_2,22:6w4,0
DEME_08F0679_0067,batch_2,22:5w3,0
DEME_08F0679_0067,batch_2,22:6w3,0
DEME_08F0679_0067,batch_2,24:0,0
DEME_08F0679_0067,batch_2,24:1,0
DEME_08F0679_0067,batch_2,24:1w9,0
DEME_08F0679_0067,batch_2,26:0,0
DEME_08F0679_0067,batch_2,26:4w2,0
DEME_08F0679_0067,batch_2,27:0,0
DEME_08F0679_0067,batch_2,28:0,0
DEME_08F0679_0067,batch_2,29:0,0
DEME_12F1162_0086,batch_2,8:0,2.68330066337669E-05
DEME_12F1162_0086,batch_2,9:0,4.58011664955677E-05
DEME_12F1162_0086,batch_2,10:0,3.2847301224094E-05
DEME_12F1162_0086,batch_2,11:0,4.58011664955677E-05
DEME_12F1162_0086,batch_2,11:1,0
DEME_12F1162_0086,batch_2,12:0,0.000159147487620963
DEME_12F1162_0086,batch_2,13:0,0
DEME_12F1162_0086,batch_2,13:1,0
DEME_12F1162_0086,batch_2,i-14:0,0
DEME_12F1162_0086,batch_2,14:0,0.0590353904225597
DEME_12F1162_0086,batch_2,14:1,0.000579222832853038
DEME_12F1162_0086,batch_2,14:1w5,0
DEME_12F1162_0086,batch_2,i-15:0,0
DEME_12F1162_0086,batch_2,a-15:0,0
DEME_12F1162_0086,batch_2,15:0,0.00120933585070115
DEME_12F1162_0086,batch_2,15:1w7,0
DEME_12F1162_0086,batch_2,15:1w5,0
DEME_12F1162_0086,batch_2,i-16:0,0
DEME_12F1162_0086,batch_2,16:0,0.116313681548653
DEME_12F1162_0086,batch_2,16:1w13,0
DEME_12F1162_0086,batch_2,16:1w9,0
DEME_12F1162_0086,batch_2,16:1w7t,0
DEME_12F1162_0086,batch_2,16:1w8c,0
DEME_12F1162_0086,batch_2,16:1w7c,0.0109955184252541
DEME_12F1162_0086,batch_2,16:1w6c,0.00194354242876646
DEME_12F1162_0086,batch_2,16:1w5t,0
DEME_12F1162_0086,batch_2,16:1w5c,0.00793100401245977
DEME_12F1162_0086,batch_2,16:2w6,0
DEME_12F1162_0086,batch_2,i-17:0,0
DEME_12F1162_0086,batch_2,a-17:0,0
DEME_12F1162_0086,batch_2,16:2w5,0.00481976315707903
DEME_12F1162_0086,batch_2,16:2w4,0
DEME_12F1162_0086,batch_2,17:0,0.000949333269180858
DEME_12F1162_0086,batch_2,16:3w4,0
DEME_12F1162_0086,batch_2,16:3w3,0
DEME_12F1162_0086,batch_2,17:1w9c,0
DEME_12F1162_0086,batch_2,17:1w7c,0
DEME_12F1162_0086,batch_2,16:4w3,0
DEME_12F1162_0086,batch_2,16:4w1,0.000438118229003057
DEME_12F1162_0086,batch_2,17:2,0
DEME_12F1162_0086,batch_2,18:0,0.0284994288733329
DEME_12F1162_0086,batch_2,18:1w9t,0
DEME_12F1162_0086,batch_2,18:1w9c,0.150330994389588
DEME_12F1162_0086,batch_2,18:1w8c,0
DEME_12F1162_0086,batch_2,18:1w7c,0
DEME_12F1162_0086,batch_2,18:1w5c,0.00130972830655507
DEME_12F1162_0086,batch_2,18:1w6c,0
DEME_12F1162_0086,batch_2,"18:2w7,12c",0
DEME_12F1162_0086,batch_2,18:2w6t,0
DEME_12F1162_0086,batch_2,18:2w6c,0.051875604031798
DEME_12F1162_0086,batch_2,18:2w3,0
DEME_12F1162_0086,batch_2,18:2,0
DEME_12F1162_0086,batch_2,18:3w6,0.00502933819164966
DEME_12F1162_0086,batch_2,18:3w4,0
DEME_12F1162_0086,batch_2,19:0,0.147143418256715
DEME_12F1162_0086,batch_2,18:3w3,0.0649164452558088
DEME_12F1162_0086,batch_2,18:4w3c,0.0783130551367396
DEME_12F1162_0086,batch_2,18:4w1,0
DEME_12F1162_0086,batch_2,18:5w3,0
DEME_12F1162_0086,batch_2,20:0,0.0125865306634183
DEME_12F1162_0086,batch_2,20:1w11,0
DEME_12F1162_0086,batch_2,20:1w9,0
DEME_12F1162_0086,batch_2,20:1w7,0
DEME_12F1162_0086,batch_2,20:1w5,0
DEME_12F1162_0086,batch_2,20:2w6,0.00209991408811497
DEME_12F1162_0086,batch_2,20:3n7,0
DEME_12F1162_0086,batch_2,20:3w6,0.00660369546017912
DEME_12F1162_0086,batch_2,20:4w6,0.207467718273786
DEME_12F1162_0086,batch_2,20:3w3,0.00147489008876636
DEME_12F1162_0086,batch_2,20:4w3,0.00998604221016999
DEME_12F1162_0086,batch_2,20:5w3,0.174981274725112
DEME_12F1162_0086,batch_2,21:0,0
DEME_12F1162_0086,batch_2,22:0,0
DEME_12F1162_0086,batch_2,22:1w9c,0
DEME_12F1162_0086,batch_2,22:1w7c,0
DEME_12F1162_0086,batch_2,22:2w6,0
DEME_12F1162_0086,batch_2,21:5w3,0
DEME_12F1162_0086,batch_2,23:0,0
DEME_12F1162_0086,batch_2,22:4w6,0
DEME_12F1162_0086,batch_2,22:5w6,0
DEME_12F1162_0086,batch_2,22:3w6,0
DEME_12F1162_0086,batch_2,22:6w4,0
DEME_12F1162_0086,batch_2,22:5w3,0
DEME_12F1162_0086,batch_2,22:6w3,0
DEME_12F1162_0086,batch_2,24:0,0
DEME_12F1162_0086,batch_2,24:1,0
DEME_12F1162_0086,batch_2,24:1w9,0
DEME_12F1162_0086,batch_2,26:0,0
DEME_12F1162_0086,batch_2,26:4w2,0
DEME_12F1162_0086,batch_2,27:0,0
DEME_12F1162_0086,batch_2,28:0,0
DEME_12F1162_0086,batch_2,29:0,0
DEME_14F1329_0091,batch_2,8:0,5.79290975763303E-05
DEME_14F1329_0091,batch_2,9:0,0.000132608777584371
DEME_14F1329_0091,batch_2,10:0,3.31521943960926E-05
DEME_14F1329_0091,batch_2,11:0,4.25743970139295E-05
DEME_14F1329_0091,batch_2,11:1,0
DEME_14F1329_0091,batch_2,12:0,0.000135749511790316
DEME_14F1329_0091,batch_2,13:0,0
DEME_14F1329_0091,batch_2,13:1,0
DEME_14F1329_0091,batch_2,i-14:0,0
DEME_14F1329_0091,batch_2,14:0,0.0654431296788215
DEME_14F1329_0091,batch_2,14:1,0
DEME_14F1329_0091,batch_2,14:1w5,0
DEME_14F1329_0091,batch_2,i-15:0,0
DEME_14F1329_0091,batch_2,a-15:0,0
DEME_14F1329_0091,batch_2,15:0,0.0011240338752612
DEME_14F1329_0091,batch_2,15:1w7,0
DEME_14F1329_0091,batch_2,15:1w5,0
DEME_14F1329_0091,batch_2,i-16:0,0
DEME_14F1329_0091,batch_2,16:0,0.0984068800225575
DEME_14F1329_0091,batch_2,16:1w13,0
DEME_14F1329_0091,batch_2,16:1w9,0
DEME_14F1329_0091,batch_2,16:1w7t,0
DEME_14F1329_0091,batch_2,16:1w8c,0
DEME_14F1329_0091,batch_2,16:1w7c,0.0108774094665917
DEME_14F1329_0091,batch_2,16:1w6c,0.0021636168974292
DEME_14F1329_0091,batch_2,16:1w5t,0
DEME_14F1329_0091,batch_2,16:1w5c,0.0112469691914913
DEME_14F1329_0091,batch_2,16:2w6,0
DEME_14F1329_0091,batch_2,i-17:0,0
DEME_14F1329_0091,batch_2,a-17:0,0
DEME_14F1329_0091,batch_2,16:2w5,0.00379330897984765
DEME_14F1329_0091,batch_2,16:2w4,0
DEME_14F1329_0091,batch_2,17:0,0.0010856471238552
DEME_14F1329_0091,batch_2,16:3w4,0
DEME_14F1329_0091,batch_2,16:3w3,0
DEME_14F1329_0091,batch_2,17:1w9c,0
DEME_14F1329_0091,batch_2,17:1w7c,0
DEME_14F1329_0091,batch_2,16:4w3,0.00022159624675283
DEME_14F1329_0091,batch_2,16:4w1,0
DEME_14F1329_0091,batch_2,17:2,0
DEME_14F1329_0091,batch_2,18:0,0.031613932576114
DEME_14F1329_0091,batch_2,18:1w9t,0
DEME_14F1329_0091,batch_2,18:1w9c,0.182809924161738
DEME_14F1329_0091,batch_2,18:1w8c,0
DEME_14F1329_0091,batch_2,18:1w7c,0
DEME_14F1329_0091,batch_2,18:1w5c,0
DEME_14F1329_0091,batch_2,18:1w6c,0
DEME_14F1329_0091,batch_2,"18:2w7,12c",0
DEME_14F1329_0091,batch_2,18:2w6t,0
DEME_14F1329_0091,batch_2,18:2w6c,0.0671754190786342
DEME_14F1329_0091,batch_2,18:2w3,0
DEME_14F1329_0091,batch_2,18:2,0
DEME_14F1329_0091,batch_2,18:3w6,0.0050995054390537
DEME_14F1329_0091,batch_2,18:3w4,0
DEME_14F1329_0091,batch_2,19:0,0.126768756813648
DEME_14F1329_0091,batch_2,18:3w3,0.0689384178795717
DEME_14F1329_0091,batch_2,18:4w3c,0.0831083637053963
DEME_14F1329_0091,batch_2,18:4w1,0
DEME_14F1329_0091,batch_2,18:5w3,0
